Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT08689","NPFFR1","None","neuropeptide FF receptor 1","None","ENSG00000148734","None","0.0297177","0.311202","1.0","By_herb","0.1287"
"SMTT08690","NPFFR2","None","neuropeptide FF receptor 2","None","ENSG00000056291","None","0.0297177","0.311202","1.0","By_herb","0.1269"
"SMTT08749","NTSR1","None","neurotensin receptor 1","None","ENSG00000101188","None","0.0326894","0.316351","1.0","By_herb","0.1368"
"SMTT08750","NTSR2","None","neurotensin receptor 2","None","ENSG00000169006","None","0.0297177","0.311202","1.0","By_herb","0.1356"
"SMTT08832","OPN1MW2","None","opsin 1, medium wave sensitive 2","None","ENSG00000166160","None","0.0312036","0.311202","1.0","By_herb","0.1285"
"SMTT08833","OPN3","None","opsin 3","None","ENSG00000054277","None","0.0326894","0.316351","1.0","By_herb","0.1432"
"SMTT08834","OPN4","None","opsin 4","None","ENSG00000122375","None","0.0297177","0.311202","1.0","By_herb","0.1477"
"SMTT08835","OPN5","None","opsin 5","None","ENSG00000124818","None","0.0312036","0.311202","1.0","By_herb","0.1368"
"SMTT08877","OXR1","None","oxidation resistance 1","None","ENSG00000164830","None","0.00594354","0.311202","1.0","By_herb","0.1442"
"SMTT09356","POU5F1P3","None","POU class 5 homeobox 1 pseudogene 3","None","ENSG00000235602","None","0.00742942","0.311202","1.0","By_herb","0.1617"
"SMTT09357","POU5F1P4","None","POU class 5 homeobox 1 pseudogene 4","None","ENSG00000237872","None","0.00742942","0.311202","1.0","By_herb","0.1368"
"SMTT09480","PRLHR","None","prolactin releasing hormone receptor","None","ENSG00000119973","None","0.0312036","0.311202","1.0","By_herb","0.1406"
"SMTT09490","PROKR1","None","prokineticin receptor 1","None","ENSG00000169618","None","0.0297177","0.311202","1.0","By_herb","0.1358"
"SMTT09598","PTER","None","phosphotriesterase related","None","ENSG00000165983","None","0.0193165","0.311202","1.0","By_herb","0.3263"
"SMTT09599","PTGDR","None","prostaglandin D2 receptor","None","ENSG00000168229","None","0.0326894","0.316351","1.0","By_herb","0.1644"
"SMTT09602","PTGER1","None","prostaglandin E receptor 1","None","ENSG00000160951","None","0.038633","0.324423","1.0","By_herb","0.1598"
"SMTT09603","PTGER4","None","prostaglandin E receptor 4","None","ENSG00000171522","None","0.0341753","0.316351","1.0","By_herb","0.188"
"SMTT09669","QRFPR","None","pyroglutamylated RFamide peptide receptor","None","ENSG00000186867","None","0.0297177","0.311202","1.0","By_herb","0.1319"
"SMTT10108","RRH","None","retinal pigment epithelium-derived rhodopsin homolog","None","ENSG00000180245","None","0.0312036","0.311202","1.0","By_herb","0.1356"
"SMTT10179","S100B","None","S100 calcium binding protein B","None","ENSG00000160307","None","0.0282318","0.311202","1.0","By_herb","0.1264"
"SMTT10988","TAAR1","None","trace amine associated receptor 1","None","ENSG00000146399","None","0.0356612","0.316654","1.0","By_herb","0.1384"
"SMTT10989","TAAR2","None","trace amine associated receptor 2 (gene/pseudogene)","None","ENSG00000146378","None","0.0312036","0.311202","1.0","By_herb","0.1244"
"SMTT10990","TAAR5","None","trace amine associated receptor 5","None","ENSG00000135569","None","0.0312036","0.311202","1.0","By_herb","0.1462"
"SMTT10991","TAAR6","None","trace amine associated receptor 6","None","ENSG00000146383","None","0.0312036","0.311202","1.0","By_herb","0.1313"
"SMTT10992","TAAR8","None","trace amine associated receptor 8","None","ENSG00000146385","None","0.0312036","0.311202","1.0","By_herb","0.1241"
"SMTT11760","UTS2R","None","urotensin 2 receptor","None","ENSG00000181408","None","0.0297177","0.311202","1.0","By_herb","0.143"
