fang1,fang2,fang3,fang4,fang5,fang6,fang7,fang8,fang9,,·½1-9É¾ÖØºó83,Ë¼¿¼´ýÕÒ¶ÔÓ¦µÄherb,,,
HERB000887,,HBIN021985,HBIN026067,HBIN017024,,HBIN038680,,,,HBIN017246,1,3,astramembrannin i,»ÆÜÎ¼×ÜÕ
HBIN033339,,HERB000309,HBIN020653,,,HBIN018278,,,,HBIN019425,2,3,calycosin,Ã«ÈïÒì»ÆÍª
HBIN041903,,HBIN022577,HBIN018163,,,HBIN026067,,,,HBIN042852,5,3,salicylic acid,Ë®ÑîËá
HBIN030896,,HBIN018163,HBIN022577,,,HBIN033609,,,,HBIN038026,10,3,oleic acid,ÓÍËá
HBIN020406,,HBIN016571,HBIN016571,,,HBIN044060,,,,HBIN003948,1,2,"2,3-butanediol",2£¬3-¶¡¶þ´¼
,,HBIN037272,HBIN037272,,,HBIN010510,,,,HBIN033339,6,2,linolenic acid,ÑÇÂéËá
,,HBIN027764,HBIN027764,,,HBIN012818,,,,HBIN022577,2,2,daidzein,´ó¶¹»ÆÍª
,,HBIN040811,HERB000309,,,HERB001779,,,,HBIN018163,1,2,betaine,Ìð²Ë¼î
,,HERB004694,HBIN040811,,,HBIN045944,,,,HBIN037272,1,2,nonyl vanillylamide,Ïã²ÝÈÉõ£°·
,,HBIN008361,,,,HBIN030532,,,,HBIN047613,9,2,ursolic acid,ÐÜ¹ûËá
,,HBIN033339,,,,,,,,HBIN019786,3,2,carvacrol,ÏãÇÛ·Ó
,,,,,,,,,,HBIN028076,4,2,GLY,¸Ê°±Ëá
,,,,,,,,,,HBIN001991,1,2,17-beta-estradiol,17¦Â-´Æ¶þ´¼
,,,,,,,,,,HBIN031753,10,2,kaempferol,É½ÄÎ·Ó
,,,,,,,,,,HBIN001977,1,2,"1,7,8,10,11,12,13,14,15,17,-decahydro-decahydro-17-(2-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2H-cyclopenta£Û¦Á£Ýpenanthrene-3(6H,9H,14H)-one",
,,,,,,,,,,HBIN033751,3,2,lupeol,ÓðÉÈ¶¹´¼
,,,,,,,,,,HBIN021188,1,1,cocaine,¿É¿¨Òò
,,,,,,,,,,HBIN041903,4,1,raffinose,ÃÞ×ÓÌÇ
,,,,,,,,,,HBIN030896,3,1,isoliquiritigenin,Òì¸Ê²ÝËØ
,,,,,,,,,,HBIN019762,2,1,carotene,ºúÂÜ²·ËØ
,,,,,,,,,,HBIN021986,1,1,curcumine,½ª»ÆËØ
,,,,,,,,,,HBIN038387,1,1,osthol,Éß´²×ÓËØ
,,,,,,,,,,HBIN038388,1,1,osthole,Éß´²×ÓËØ
,,,,,,,,,,HBIN004214,1,1,"2',4',4-trihydroxychalcone",Òì¸Ê²ÝËØ
,,,,,,,,,,HBIN036905,1,1,nicotine,Äá¹Å¶¡
,,,,,,,,,,HBIN045028,4,1,styrene,±½ÒÒÏ©
,,,,,,,,,,HBIN036162,5,1,myristicin,Èâ¶¹Þ¢ÃÑ
,,,,,,,,,,HBIN040908,5,1,protocatechuic acid,Ô­¶ù²èËá
,,,,,,,,,,HBIN017024,1,1,asaricin,Ï¸ÐÁÃÑ
,,,,,,,,,,HBIN045516,1,1,Tar,ÑÌ¼î
,,,,,,,,,,HBIN002554,1,1,"1H,3H-Pyrano(3,4-c)pyran-1-one, 5-ethenyl-6-(beta-D-glucopyranosyloxy)-4,4a,5,6-tetrahydro-, (4aS-(4aalpha,5beta,6alpha))-",â¯ÑÀ²Ë¿àËØ
,,,,,,,,,,HBIN045176,1,1,Sweroside aglycone,
,,,,,,,,,,HBIN028769,1,1,hancinone C,É½ÉXËØ
,,,,,,,,,,HBIN020260,1,1,Cheilanthifoline,ËéÒ¶×ÏÝÀ¼î
,,,,,,,,,,HBIN026843,1,1,furaldehyde,¿·È©
,,,,,,,,,,HBIN036036,1,1,mustard oil,½æ×ÓÓÍ
,,,,,,,,,,HBIN027528,3,1,geraniol,ÏãÒ¶´¼
,,,,,,,,,,HBIN035055,1,1,methyl-7-epiganoderate,
,,,,,,,,,,HBIN020908,1,1,cis-palmitoleic acid,Ë³Ê½×ØéµÏ©Ëá
,,,,,,,,,,HBIN046523,1,1,toluene,¼×±½
,,,,,,,,,,HBIN020903,1,1,cis-oleic acid,Ë³Ê½ÓÍËá
,,,,,,,,,,HBIN026609,1,1,FMT,
,,,,,,,,,,HBIN044676,1,1,(s)-serine,-Ë¿°±Ëá
,,,,,,,,,,HBIN045032,1,1,(s)-tyrosine,ÀÒ°±Ëá
,,,,,,,,,,HBIN022584,1,1,DAL,
,,,,,,,,,,HBIN019111,2,1,butylated hydroxytoluene,¶¡ôÇ¼×±½
,,,,,,,,,,HBIN038680,21,1,palmitic acid,×ØéµËá
,,,,,,,,,,HBIN018278,23,1,beta-sitosterol,¦Â-¹ÈçÞ´¼
,,,,,,,,,,HBIN033609,3,1,L-Serin,L-Ë¿°±Ëá
,,,,,,,,,,HBIN044060,1,1,Sinapaldehyde,½æ×ÓÈ©
,,,,,,,,,,HBIN010510,1,1,4-hydroxybenzoylcholine,4-ôÇ»ù±½¼×õ£µ¨¼î
,,,,,,,,,,HBIN012818,1,1,6-shogaol,½ªÏ©·Ó
,,,,,,,,,,HBIN045944,1,1,Tereton,
,,,,,,,,,,HBIN030532,2,1,isobutyric acid,Òì¶¡Ëá
,,,,,,,,,,HBIN004074,2,1,"2,3-diphenyl-2-cyclopropen-1-one",¶þ±½»ù»·±ûÏ©Íª
,,,,,,,,,,HBIN045833,1,1,tectorigenin,ð°Î²ß°Ôª
,,,,,,,,,,HBIN007081,1,1,"3,3',4',5,5',7-hexahydroxyflavone",ÑîÃ·ËØ
,,,,,,,,,,HBIN028041,1,1,glucoside,ÌÇÜÕ
,,,,,,,,,,HBIN036308,9,1,naphthalene,ÝÁ
